Country/Region,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Honduras,Hungary,Iceland,India,Indonesia,Iran,Irak,Ireland,Israel,Italy,Jamaica,Japon,Jordan,Kenya,"Korea, South",Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Morocco,Namibia,Nepal,Netherlands,New Zealand,"North, Macedonia",Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Suriname,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Venezuela,Vietnam,Zambia,Zimbabwe
08/01/2020,0,1,3,0,0,0,28,0,24,24,2,0,0,29,0,0,35,0,0,0,34,0,0,0,6,0,1,27,0,0,0,9,39,0,0,6,0,7,0,1,0,51,31,47,49,0,0,40,0,42,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,6,47,0,9,2,0,0,0,0,0,31,0,0,0,0,16,5,0,1,25,40,0,0
09/01/2020,12,1,3,0,0,0,0,0,30,0,2,0,0,15,0,0,36,6,0,0,0,0,0,0,14,0,1,0,0,0,0,8,0,0,0,11,0,14,0,1,0,0,63,0,0,0,0,41,0,30,0,12,0,0,0,3,4,0,0,0,0,0,0,18,13,10,0,0,0,4,0,0,41,6,48,0,11,2,0,3,0,28,0,0,0,0,0,0,17,5,0,1,0,0,0,0
10/01/2020,13,1,0,0,57,0,29,0,22,0,1,30,0,30,56,0,49,6,0,0,0,0,56,0,13,0,2,0,0,0,0,15,17,0,0,6,0,18,35,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,3,0,0,17,37,0,0,0,0,14,7,0,41,26,4,0,0,42,0,0,0,6,2,0,3,12,28,0,0,0,37,0,0,0,4,67,1,0,14,0,0
11/01/2020,0,1,3,0,53,0,11,0,41,9,1,0,0,0,0,0,27,7,0,52,0,0,0,0,11,0,1,0,0,0,0,12,18,0,0,0,48,16,37,1,0,0,0,0,0,0,0,100,0,37,0,7,0,0,0,5,0,0,0,0,0,0,63,21,30,9,0,0,29,5,0,0,43,0,0,0,7,0,0,3,0,0,0,0,0,39,0,0,0,4,0,2,29,10,0,0
12/01/2020,0,1,3,0,0,0,10,0,21,0,1,0,0,0,0,0,26,0,0,50,34,0,0,0,24,0,1,0,100,0,0,7,18,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,74,0,8,0,0,0,7,9,0,0,37,0,0,0,23,14,17,0,0,0,5,0,0,0,6,52,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,1,0,30,0,0
13/01/2020,23,1,0,0,0,0,0,0,26,0,2,0,0,14,0,28,42,0,27,0,0,15,44,0,17,0,1,0,0,0,0,10,15,0,0,5,0,34,0,1,0,0,29,0,0,0,0,0,0,41,0,0,0,0,0,10,0,0,0,0,0,0,72,0,0,16,0,0,0,7,48,0,37,5,42,0,0,3,0,0,0,0,0,0,0,0,94,50,0,4,0,2,24,9,0,0
14/01/2020,21,1,0,0,0,0,0,0,25,21,1,49,0,0,47,0,21,0,0,0,0,0,0,0,13,0,1,0,80,0,0,9,0,0,0,0,0,6,28,1,0,0,41,0,0,23,0,36,0,60,51,5,0,0,43,3,0,0,14,31,0,0,0,0,11,3,0,0,0,9,0,0,71,5,41,0,5,2,0,0,0,0,0,0,0,0,0,0,14,3,0,1,22,26,0,0
15/01/2020,0,1,3,0,0,0,0,0,35,0,1,0,0,13,0,0,47,0,0,0,0,0,0,0,14,0,1,0,0,0,0,10,15,0,0,0,0,20,30,1,0,0,30,0,0,0,0,0,0,52,0,11,0,0,0,6,0,0,16,0,0,0,0,0,0,13,26,0,0,8,50,0,0,5,0,0,6,4,0,3,0,0,0,0,0,36,0,53,0,2,57,1,23,23,0,0
16/01/2020,26,1,0,0,0,0,0,0,34,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,16,0,1,0,0,0,0,18,16,0,0,6,39,7,0,1,0,0,0,0,0,0,0,0,0,52,0,12,0,0,0,4,9,0,16,36,0,0,0,0,13,7,0,0,0,19,52,0,0,11,49,0,8,0,0,3,0,0,0,0,0,0,0,53,0,2,0,1,0,9,0,79
17/01/2020,13,0,0,0,0,0,10,58,27,8,1,0,0,0,0,0,25,13,0,0,0,0,0,5,13,38,1,0,0,29,29,37,17,0,0,0,47,25,0,1,0,0,33,0,0,0,100,0,0,41,0,6,0,0,0,7,0,0,0,0,63,0,59,0,0,7,0,0,0,16,0,0,0,11,50,0,6,2,0,5,0,29,0,0,0,0,0,0,0,3,0,1,51,10,0,0
18/01/2020,0,1,3,0,0,0,0,0,35,0,2,0,0,0,0,0,54,0,0,0,0,0,0,0,11,0,1,0,0,0,0,18,0,0,0,6,0,19,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,8,8,0,19,0,0,0,0,42,46,4,0,0,28,4,0,0,0,13,55,0,5,6,0,3,0,0,0,0,0,0,0,0,0,1,0,1,31,21,0,0
19/01/2020,17,1,3,0,0,0,0,0,14,0,1,0,82,19,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,18,0,0,0,0,74,18,0,1,0,0,70,0,0,0,0,0,0,67,0,0,0,0,0,3,6,0,19,0,0,0,0,0,15,4,0,0,27,4,0,0,0,0,0,0,7,5,0,6,0,0,0,0,0,41,0,58,0,3,0,1,34,11,0,0
20/01/2020,12,1,3,0,0,0,9,0,29,0,1,28,0,14,0,0,46,6,0,37,0,0,0,0,9,38,1,0,0,0,0,31,16,50,0,6,0,17,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,11,4,0,0,0,60,69,0,0,0,9,0,0,23,6,0,0,0,11,46,0,6,0,0,3,0,0,0,64,0,0,0,0,0,4,0,2,25,21,0,78
21/01/2020,12,1,0,0,0,0,0,0,32,0,2,29,0,14,0,0,0,0,0,0,0,16,0,5,21,0,1,0,0,0,0,17,0,0,0,0,0,34,0,1,51,0,31,0,0,0,0,0,0,38,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,7,0,0,24,15,0,0,0,6,47,0,3,0,0,8,0,0,0,63,0,37,0,52,26,4,0,1,48,11,0,0
22/01/2020,12,1,0,0,0,0,0,60,17,8,1,0,0,0,0,0,0,6,29,0,0,0,0,0,19,0,1,0,0,0,0,17,31,0,0,0,0,34,0,1,53,0,0,0,0,0,0,0,0,39,0,6,0,79,0,2,0,0,0,36,58,0,52,0,0,11,0,0,0,13,0,0,0,6,0,0,12,0,0,0,11,30,0,0,0,0,0,51,0,3,0,1,0,12,0,0
23/01/2020,0,1,5,0,51,0,0,0,31,0,2,0,0,0,0,0,24,0,0,37,0,0,0,5,16,0,1,27,0,0,0,14,16,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,36,0,6,0,0,0,8,13,0,16,71,0,0,54,0,13,9,0,0,25,11,0,0,0,0,100,0,4,0,0,0,0,0,0,32,0,0,0,52,0,3,0,1,0,13,0,0
24/01/2020,0,1,0,0,0,0,10,0,16,8,1,0,0,14,0,0,25,7,0,42,35,0,0,0,8,0,1,28,0,0,0,17,0,0,0,0,46,25,0,1,0,53,40,0,53,0,0,0,0,64,0,0,0,0,0,3,5,0,17,35,0,0,0,0,14,12,0,0,0,8,0,0,0,7,0,0,3,0,0,3,0,0,0,34,0,0,0,56,0,4,0,1,25,0,0,78
25/01/2020,15,1,3,0,52,0,0,0,26,0,1,0,0,0,0,0,28,8,0,53,0,0,0,6,9,0,1,0,0,0,0,18,18,0,0,0,0,30,0,1,58,0,0,0,0,0,0,53,0,21,0,7,0,0,0,5,0,0,0,0,0,0,0,20,0,12,32,0,29,4,0,0,0,8,0,0,7,6,0,0,0,0,0,0,0,39,0,0,18,2,0,2,0,0,0,0
26/01/2020,0,1,6,0,0,0,11,0,20,0,1,0,0,0,0,0,78,7,0,0,0,38,0,0,11,0,1,0,0,0,0,22,0,0,0,0,0,24,0,1,54,0,37,0,0,0,0,47,0,58,0,15,0,0,0,6,0,0,0,0,0,0,0,0,14,11,0,0,0,13,0,0,42,7,51,0,4,4,0,0,0,0,0,0,0,0,0,58,0,5,0,1,0,0,0,0
27/01/2020,12,1,2,0,0,0,0,0,51,8,1,0,0,13,0,0,34,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20,31,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,45,0,12,0,0,49,11,16,48,0,32,0,0,0,16,13,10,0,0,0,6,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,51,17,4,0,1,0,27,0,0
