Country/Region,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, South",Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Morocco,Namibia,Nepal,Netherlands,New Zealand,North Macedonia,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Venezuela,Vietnam,Zambia,Zimbabwe
2020-01-08,38,23,3,0,9,32,5,0,6,5,10,12,0,30,55,12,11,9,0,0,54,13,0,29,3,33,8,11,0,3,0,6,51,11,0,16,2,24,0,3,31,17,4,0,13,19,0,10,20,9,0,41,0,0,12,17,11,0,0,2,78,0,0,6,3,23,12,47,9,65,29,35,15,3,11,7,8,25,0,6,8,66,13,7,29,23,18,20,0,14,0,4,0,49,0,15
2020-01-09,25,24,3,0,12,0,5,0,8,11,7,37,0,15,0,10,15,9,0,23,43,7,0,31,5,16,8,12,0,1,0,6,56,13,28,12,2,20,10,3,33,3,3,0,21,6,0,0,0,6,0,20,0,0,18,17,21,0,0,5,0,0,0,13,4,21,2,0,7,68,24,37,22,4,13,5,12,25,0,0,26,58,8,9,30,18,0,23,0,16,0,4,15,42,0,16
2020-01-10,52,22,3,0,12,0,2,0,6,7,8,38,0,46,0,13,16,11,0,50,33,7,0,46,4,33,8,12,0,4,0,6,42,14,0,14,7,24,28,3,0,3,1,0,14,10,0,5,20,10,0,41,0,0,19,13,14,0,0,4,86,0,0,0,4,20,5,55,11,82,16,0,25,4,9,8,13,26,0,6,12,89,10,10,0,20,36,13,0,15,0,4,0,41,23,34
2020-01-11,47,16,4,0,4,0,3,0,9,11,10,0,0,18,66,8,19,29,0,32,31,8,0,69,4,18,10,13,0,3,0,6,57,12,29,11,9,32,12,3,0,13,4,0,35,0,0,0,27,13,0,16,0,0,0,13,13,0,18,4,0,0,0,0,5,24,29,0,10,65,25,21,13,3,25,4,15,7,0,0,19,77,12,8,30,19,16,20,0,23,0,5,18,44,22,0
2020-01-12,47,22,3,20,5,0,7,0,7,10,11,0,0,57,0,11,11,5,34,0,32,8,0,50,5,17,9,6,0,2,0,8,57,12,30,30,4,31,23,3,0,7,3,0,24,7,0,6,0,13,22,73,0,0,7,22,17,0,18,4,0,0,0,0,64,18,53,0,14,31,28,19,13,5,9,5,13,21,0,0,14,78,13,8,0,22,18,19,0,24,100,5,20,47,0,23
2020-01-13,34,33,6,0,10,0,3,32,7,10,11,33,21,14,0,14,12,12,0,21,32,12,0,0,4,25,7,5,0,3,0,7,57,15,0,21,2,24,0,3,31,10,3,0,39,9,0,4,0,12,20,43,0,0,12,11,24,0,14,4,75,0,0,0,69,24,32,0,8,58,22,16,19,4,11,4,12,23,0,0,11,80,0,8,27,15,0,13,31,16,0,4,0,35,32,17
2020-01-14,21,48,2,38,6,0,5,31,8,7,9,0,0,25,0,13,12,10,25,0,20,12,0,27,3,24,8,5,0,5,0,6,76,12,0,10,0,29,9,3,0,6,4,0,12,12,0,7,17,19,0,34,0,0,11,17,6,0,0,6,0,0,34,12,24,23,4,0,6,50,34,16,24,4,11,4,12,32,0,0,11,60,23,7,71,19,16,15,28,16,0,4,13,40,0,0
2020-01-15,23,26,3,0,2,30,6,0,7,10,10,12,0,0,0,15,23,4,27,42,20,0,0,30,4,16,7,0,0,3,0,6,61,13,30,11,6,25,0,3,0,3,2,0,14,9,0,0,37,9,22,59,0,0,0,18,15,0,31,2,0,37,0,0,14,23,5,49,9,83,47,17,30,3,0,3,14,19,0,0,16,62,12,7,0,17,0,18,48,16,24,4,0,50,20,15
2020-01-16,0,19,7,22,5,0,2,0,6,5,9,25,0,14,0,14,11,18,0,23,22,0,0,0,4,0,8,0,0,6,0,7,63,15,43,13,2,26,0,3,0,3,3,0,0,6,0,5,19,25,24,64,0,28,12,18,15,41,16,5,82,0,0,0,8,20,2,0,9,50,29,18,50,5,9,4,13,38,0,0,14,62,0,9,31,18,18,15,0,14,0,4,14,33,0,0
2020-01-17,0,18,6,21,5,0,10,0,6,12,8,13,0,0,0,17,17,7,0,37,77,7,0,46,4,0,8,12,0,4,0,5,61,16,27,9,5,26,16,3,38,10,2,0,22,19,0,0,20,10,0,59,29,0,6,20,19,0,16,3,0,0,41,7,7,28,7,0,9,61,42,18,16,3,11,12,10,13,0,0,12,77,26,4,32,13,16,19,39,16,29,4,0,33,42,16
2020-01-18,79,19,5,0,5,32,3,0,8,6,9,30,0,35,0,15,11,16,30,31,64,24,0,0,5,0,10,6,0,4,0,6,60,13,27,15,9,33,12,3,0,10,3,0,0,20,0,6,0,18,23,79,0,0,13,16,13,44,18,6,96,0,46,8,6,21,33,0,14,52,56,0,30,5,10,4,15,0,0,0,12,92,27,8,33,22,15,24,0,25,0,5,0,41,21,0
2020-01-19,33,22,4,44,15,30,5,82,8,13,9,0,27,19,68,11,16,23,0,0,30,8,0,34,5,18,9,6,0,1,0,7,61,13,28,12,0,25,11,3,0,12,3,0,0,9,0,9,26,21,32,32,0,0,0,20,14,0,18,8,0,0,0,0,6,24,67,0,13,59,9,17,33,6,7,0,10,19,0,0,12,93,14,8,31,22,0,12,31,21,0,4,20,41,22,0
2020-01-20,36,17,4,22,7,34,6,0,6,7,10,0,26,43,0,7,12,22,0,46,32,13,0,30,3,17,9,17,0,3,0,7,61,14,28,9,2,32,15,3,32,7,5,0,27,12,0,5,18,6,22,25,0,0,19,17,18,0,15,5,81,0,38,6,6,21,14,0,9,39,35,35,19,3,10,2,13,18,0,6,14,45,14,22,59,18,17,13,100,17,0,5,15,39,0,0
2020-01-21,12,28,2,0,2,0,10,31,6,5,14,37,0,28,0,12,15,13,32,23,42,7,0,30,4,16,8,12,0,2,0,7,72,13,27,16,0,32,0,4,0,5,4,0,28,12,0,5,18,12,21,37,0,0,6,19,21,0,15,8,80,0,0,0,6,25,14,0,10,65,49,0,19,8,15,4,11,30,0,6,14,57,13,28,0,15,16,13,33,18,0,5,14,36,40,0
2020-01-22,25,33,5,0,2,0,5,0,5,8,20,35,34,14,0,19,17,13,91,0,54,7,27,31,4,16,8,6,0,5,0,7,65,13,27,19,2,30,0,5,0,6,3,33,14,9,0,5,19,0,44,75,0,0,0,22,29,0,31,3,0,0,0,6,8,22,7,0,14,49,62,17,12,12,7,2,13,23,0,6,18,76,13,19,59,22,0,18,33,19,0,5,0,39,0,0
2020-01-23,65,38,3,0,7,0,4,0,7,14,20,37,81,54,54,11,20,24,0,23,42,7,0,45,4,24,9,12,58,3,53,7,70,14,0,17,4,30,21,7,0,7,5,0,0,15,0,5,0,10,46,25,28,57,12,26,44,0,16,5,0,0,0,0,10,24,12,0,9,47,14,17,15,28,7,3,13,12,0,6,12,84,13,18,0,23,0,19,34,24,0,5,15,38,20,13
2020-01-24,13,36,3,0,9,0,7,0,6,11,23,26,0,14,0,10,19,25,31,26,22,7,28,31,4,0,10,12,64,6,0,7,45,14,27,13,7,29,11,8,0,5,3,38,15,10,0,5,41,14,23,60,57,30,13,30,51,42,16,5,84,0,0,7,12,23,7,56,12,52,40,0,22,36,9,3,10,6,0,6,12,84,14,18,31,17,0,16,0,25,0,6,22,38,0,15
2020-01-25,15,99,4,24,5,0,11,0,6,16,26,0,0,17,66,19,16,19,0,0,21,0,0,35,10,35,15,6,0,7,0,8,56,14,29,29,12,45,24,8,37,5,6,55,0,27,0,6,54,23,34,31,0,0,14,26,58,0,0,5,95,0,0,15,12,31,23,0,15,78,28,37,30,27,17,3,19,41,58,7,20,63,14,33,0,28,17,16,0,34,0,7,17,30,21,0
